1     0.950488     0.00694444      -0.29     1.26597
1     -nan     -nan      -1     0
1     -nan     -nan      -1     0
1     -nan     -nan      -1     0
1     -nan     -nan      -1     0
1     0.614293     3.97272e-05      -0.03     23.3158
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.921827     0.00581162      -0.17     24.0796
1     0.614293     3.18214e-05      -0.03     23.2087
1     0.614293     4.2497e-05      -0.03     40.5639
1     0.366385     4.53526e-05      -0.03     15.4105
1     0.366385     4.53526e-05      -0.03     31.3139
1     0.471682     3.60664e-05      -0.02     27.9581
1     0.618804     0.00158651      0.0799999     33.6749
1     0.618804     0.00158651      0.0799999     33.6749
1     0.618804     0.00158651      0.0799999     33.6749
1     0.991985     0.257574      -0.55     7891.38
1     1     0.012504      -0.42     1234.79
1     1     1      -1     0
1     0.619991     0.001141      -0.31     83.48
1     0.819672     0.000123019      -0.21     17.783
1     0.726676     0.000144845      -0.13     6.75886
1     0.726676     0.000144845      -0.13     6.75886
1     1     1      -1     818.85
1     0.586047     0.00194182      -0.32     35.1944
1     0.586047     0.00194182      -0.32     35.1944
1     0.586047     0.00194182      -0.32     35.1944
